x,IMU Yaw
6.999999999000001,0.0
7.0200000000000005,0.0
7.039999999,0.0
7.0600000000000005,0.0
7.0600000000000005,0.0
7.079999999,0.0
7.1000000000000005,0.0
7.119999999,0.0
7.119999999,0.0
7.140000000000001,0.0
7.159999999,0.0
7.180000000000001,0.0
7.180000000000001,0.0
7.199999999,0.0
7.220000000000001,0.0
7.239999999,0.0
7.239999999,0.0
7.260000000000001,0.0
7.279999999,0.0
7.300000000000001,0.0
7.300000000000001,0.0
7.319999999,0.0
7.340000000000001,0.0
7.359999999,0.0
7.380000000000001,0.0
7.380000000000001,0.0
7.399999999,0.0
7.420000000000001,0.0
7.44,0.0
7.44,0.0
7.459999999000001,0.0
7.48,0.0
7.500000000000001,0.0
7.5200000000000005,0.0
7.5200000000000005,0.0
7.539999999,0.0
7.5600000000000005,0.0
7.579999999000001,0.0
7.579999999000001,0.0
7.6000000000000005,0.0
7.619999999,0.0
7.640000000000001,0.0
7.659999999,0.0
7.659999999,0.0
7.680000000000001,0.0
7.699999999,0.0
7.720000000000001,0.0
7.739999999,0.0
7.739999999,0.0
7.760000000000001,0.0
7.779999999,0.0
7.800000000000001,0.0
7.800000000000001,0.0
7.819999999,0.0
7.840000000000001,0.0
7.859999999,0.0
7.880000000000001,0.0
7.880000000000001,0.0
7.9,0.0
7.920000000000001,0.0
7.94,0.0
7.94,0.0
7.959999999,0.0
7.979999999000001,0.0
8.0,0.0
8.02,0.0
8.02,0.0
8.039999998999999,0.0
8.059999998999999,0.0
8.08,0.0
8.1,0.0
8.1,0.0
8.119999999,0.0
8.139999998999999,0.0
8.16,0.0
8.16,0.0
8.18,0.0
8.199999999,0.0
8.219999998999999,0.0
8.24,0.0
8.24,0.0
8.26,0.0
8.279999999,0.0
8.299999998999999,0.0
8.32,0.0
8.32,0.0
8.34,0.0
8.359999999,0.0
8.379999998999999,0.0
8.379999998999999,0.0
8.4,0.0
8.42,0.0
8.44,0.0
8.459999998999999,0.0
8.459999998999999,0.0
8.479999999,0.0
8.5,0.0
8.52,0.0
8.52,0.0
8.539999998999999,0.0
8.559999999,0.0
8.58,0.0
8.58,0.0
8.6,0.0
8.619999999,0.0
8.639999998999999,0.0
8.66,0.0
8.66,0.0
8.68,0.0
8.699999999,0.0
8.719999998999999,0.0
8.719999998999999,0.0
8.74,0.0
8.76,0.0
8.76,0.0
8.779999999,0.0
8.799999998999999,0.0
8.799999998999999,0.0
8.82,0.0
8.84,0.0
8.84,0.0
8.859999999,0.0
8.879999998999999,0.0
8.879999998999999,0.0
8.9,0.0
8.92,0.0
8.92,0.0
8.94,0.0
8.959999998999999,0.0
8.979999999,0.0
9.0,0.0
9.0,0.0
9.02,0.0
9.039999998999999,0.0
9.059999998999999,0.0
9.059999998999999,0.0
9.08,0.0
9.1,0.0
9.119999999,0.0
9.119999999,0.0
9.139999998999999,0.0
9.16,0.0
9.18,0.0
9.199999999,0.0
9.199999999,0.0
9.219999998999999,0.0
9.24,0.0
9.26,0.0
9.26,0.0
9.279999999,0.0
9.299999998999999,0.0
9.32,0.0
9.34,0.0
9.34,0.0
9.359999999,0.0
9.379999998999999,0.0
9.4,0.0
9.4,0.0
9.42,0.0
9.44,0.0
9.44,0.0
9.459999998999999,0.0
9.479999999,0.0
9.5,0.0
9.52,0.0
9.52,0.0
9.539999998999999,0.0
9.559999999,0.0
9.58,0.0
9.58,0.0
9.6,0.0
9.619999999,0.0
9.639999998999999,0.0
9.639999998999999,0.0
9.66,0.0
9.68,0.0
9.699999999,0.0
9.699999999,0.0
9.719999998999999,0.0
9.74,0.0
9.76,0.0
9.76,0.0
9.779999999,0.0
9.799999998999999,0.0
9.82,0.0
9.84,0.0
9.859999999,0.0
9.859999999,0.0
9.879999998999999,0.0
9.9,0.0
9.92,0.0
9.94,0.0
9.94,0.0
9.959999998999999,0.0
9.979999999,0.0
10.0,0.0
10.02,0.0
10.039999998999999,0.0
10.039999998999999,0.0
10.059999998999999,0.0
10.08,0.0
10.1,0.0
10.119999999,0.0
10.119999999,0.0
10.139999998999999,0.0
10.16,0.0
10.18,0.0
10.199999999,0.0
10.219999998999999,0.0
10.219999998999999,0.0
10.24,0.0
10.26,0.0
10.279999999,0.0
10.299999998999999,0.0
10.32,0.0
10.32,0.0
10.34,0.0
10.359999999,0.0
10.379999998999999,0.0
10.4,0.0
10.42,0.0
10.42,0.0
10.44,0.0
10.459999998999999,0.0
10.479999999,0.0
10.5,0.0
10.52,0.0
10.52,0.0
10.539999998999999,0.0
10.559999999,0.0
10.58,0.0
10.6,0.0
10.619999999,0.0
10.619999999,0.0
10.639999998999999,0.0
10.66,0.0
10.68,0.0
10.699999999,0.0
10.719999998999999,0.0
10.719999998999999,0.0
10.74,0.0
10.76,0.0
10.779999999,0.0
10.779999999,0.0
10.799999998999999,0.0
10.82,0.0
10.84,0.0
10.859999999,0.0
10.859999999,0.0
10.879999998999999,0.0
10.9,0.0
10.92,0.0
10.94,0.0
10.959999998999999,0.0
10.959999998999999,0.0
10.979999999,0.0
11.0,0.0
11.02,0.0
11.039999998999999,0.0
11.059999998999999,0.0
11.08,0.0
11.08,0.0
11.1,0.0
11.119999999,0.0
11.139999998999999,0.0
11.16,0.0
11.18,0.0
11.199999999,0.0
11.219999998999999,0.0
11.219999998999999,0.0
11.24,0.0
11.26,0.0
11.279999999,0.0
11.299999998999999,0.0
11.32,0.0
11.34,0.0
11.34,0.0
11.359999999,0.0
