x,Pitot
7.819999999,-0.5873305201530457
7.920000000000001,0.08952426165342331
8.0,-4.9328179359436035
8.119999999,2.9921724796295166
8.199999999,4.926524639129639
8.279999999,1.7453597784042358
8.379999998999999,-1.8504154682159424
8.479999999,-0.22788627445697784
8.6,2.1029720306396484
8.699999999,-1.9310126304626465
8.82,3.7637455463409424
8.92,-0.9338663816452026
9.0,-1.6802291870117188
9.1,0.5320334434509277
9.18,-3.550225257873535
9.279999999,2.68910813331604
9.359999999,-1.4315344095230103
9.459999998999999,-1.6090152263641357
9.559999999,1.5476239919662476
9.66,-1.0833629369735718
9.74,-2.2596473693847656
9.84,4.626919746398926
9.94,-1.1925657987594604
10.039999998999999,3.303821325302124
10.16,-0.8976315259933472
10.26,1.2228868007659912
10.34,-1.9265333414077759
10.459999998999999,-0.7805057168006897
10.539999998999999,4.610951900482178
10.639999998999999,-2.8742904663085938
10.74,4.165510177612305
10.84,-0.2711445987224579
10.94,1.2085093259811401
11.039999998999999,2.3452906608581543
11.139999998999999,-0.48028647899627686
11.24,-0.9720951914787292
11.34,1.4521163702011108
11.44,2.53599214553833
11.539999998999999,-1.0873416662216187
11.639999998999999,1.710802674293518
11.719999998999999,3.6954853534698486
11.82,0.2052808552980423
11.92,1.1101728677749634
12.039999998999999,2.8806474208831787
12.139999998999999,5.771462440490723
12.24,7.589222431182861
12.34,0.8806745409965515
12.44,3.823857069015503
12.539999998999999,-1.1533801555633545
12.639999998999999,7.211094379425049
12.74,0.8388795256614685
12.84,4.560039520263672
12.94,0.8894625306129456
13.039999998999999,4.417099475860596
13.139999998999999,1.0121028423309326
13.26,6.045534610748291
13.34,9.070436477661133
13.4,5.3748040199279785
13.5,2.917111873626709
13.6,2.1528067588806152
13.68,2.5783181190490723
13.82,7.287492752075195
13.94,5.555891036987305
14.02,5.065692901611328
14.119999999,6.702545166015625
14.219999998999999,6.857776165008545
14.32,6.370817184448242
14.42,5.731753826141357
14.52,4.590085983276367
14.639999998999999,7.242455005645752
14.719999998999999,4.292766571044922
14.799999998999999,5.220515251159668
14.879999998999999,9.675583839416504
14.979999999,5.922151565551758
15.059999998999999,7.559666156768799
15.139999998999999,3.8720173835754395
15.219999998999999,9.765484809875488
15.299999998999999,5.487318992614746
15.379999998999999,4.376705169677734
15.459999998999999,8.910151481628418
15.539999998999999,5.651442527770996
15.619999999,7.013586044311523
15.68,5.722424030303955
15.76,4.523571014404297
15.82,6.175720691680908
15.9,7.442439556121826
15.979999998999999,6.1924309730529785
16.060000000000002,11.882569313049316
16.080000000000002,5.929412364959717
16.1,8.302742004394531
16.119999999,8.366524696350098
16.139999999,12.23843765258789
16.159999999,7.992979049682617
16.179999999,8.553215026855469
16.200000000000003,7.0976481437683105
16.279999999,9.420955657958984
16.360000000000003,9.813953399658203
16.400000000000002,6.365092754364014
16.479999999,12.64522647857666
16.560000000000002,10.90622329711914
16.639999999,11.332009315490723
16.720000000000002,5.711489200592041
16.779999999,10.78428840637207
16.860000000000003,11.78801155090332
16.94,11.157524108886719
16.999999999,13.040905952453613
17.080000000000002,12.905338287353516
17.159999999,13.341979026794434
17.240000000000002,9.615262031555176
17.299999999,10.126779556274414
17.380000000000003,11.445975303649902
17.459999999,12.61230754852295
17.519999999000003,12.479232788085938
17.619999999,14.362788200378418
17.700000000000003,15.701184272766113
17.76,12.361848831176758
17.839999999,13.444581031799316
17.92,11.350412368774414
17.999999999,12.338370323181152
18.080000000000002,13.36063289642334
18.139999999,10.420525550842285
18.200000000000003,13.68145751953125
18.279999999,9.540449142456055
18.319999999,12.813626289367676
18.360000000000003,11.903119087219238
18.42,15.4829740524292
18.499999999,14.344952583312988
18.580000000000002,13.448770523071289
18.679999999,13.76345443725586
18.700000000000003,12.947284698486328
18.720000000000002,11.789870262145996
18.740000000000002,12.415358543395996
18.740000000000002,18.2237491607666
18.76,11.134227752685547
18.779999999,12.19870376586914
18.860000000000003,14.110953330993652
18.92,13.435661315917969
18.979999999,15.255334854125977
19.040000000000003,16.758024215698242
19.119999999,13.377138137817383
19.200000000000003,16.148330688476562
19.299999999,15.173049926757812
19.380000000000003,16.17949867248535
19.459999999,13.347041130065918
19.540000000000003,17.226259231567383
19.619999999,17.883508682250977
