x,Front Right,Rear Left
12.24,25.207719802856445,25.05075454711914
12.279999999,24.53354263305664,24.85874366760254
12.34,22.92101287841797,25.581092834472656
12.379999998999999,25.4140567779541,22.138383865356445
12.42,25.175485610961914,22.893686294555664
12.459999998999999,23.667213439941406,26.219608306884766
12.5,25.37207794189453,24.707592010498047
12.559999999,25.420818328857422,23.34419822692871
12.6,26.462093353271484,24.320837020874023
12.639999998999999,24.661136627197266,25.875383377075195
12.699999999,24.61815643310547,25.507606506347656
12.74,23.184499740600586,24.827688217163086
12.799999998999999,25.444787979125977,25.0634708404541
12.82,23.920440673828125,23.957805633544922
12.859999999,24.34832000732422,25.61459732055664
12.92,25.57525062561035,26.22905158996582
12.959999998999999,24.2055721282959,24.008258819580078
13.0,25.791099548339844,25.101634979248047
13.059999998999999,23.263118743896484,24.798898696899414
13.1,26.687774658203125,26.636030197143555
13.16,25.58856964111328,24.510238647460938
13.199999999,25.25217056274414,23.18891716003418
13.26,25.083274841308594,26.01470947265625
13.299999998999999,25.69166374206543,25.212621688842773
13.359999999,24.246679306030273,24.17318344116211
13.4,23.58588218688965,23.08674430847168
13.44,25.785133361816406,23.29332160949707
13.479999999,23.756155014038086,24.61284065246582
13.539999998999999,26.909223556518555,25.332910537719727
13.58,24.209688186645508,27.346437454223633
13.6,24.440690994262695,26.0889835357666
13.639999998999999,24.8834171295166,24.46495819091797
13.68,24.97797203063965,23.719087600708008
13.719999998999999,25.40345573425293,24.310516357421875
13.74,25.418004989624023,24.110252380371094
13.76,25.597646713256836,25.458236694335938
13.799999998999999,24.729738235473633,25.370502471923828
13.82,24.480876922607422,25.544565200805664
13.84,27.588829040527344,25.12067222595215
13.879999998999999,24.77198028564453,24.343860626220703
13.9,24.705398559570312,23.684192657470703
13.92,24.122222900390625,25.29119873046875
13.959999998999999,24.484214782714844,24.26512336730957
13.979999999,26.027969360351562,25.88128089904785
14.02,25.60127830505371,25.040687561035156
14.039999998999999,24.389572143554688,25.11022186279297
14.059999998999999,23.041622161865234,25.114444732666016
14.08,27.102825164794922,25.52882194519043
14.1,25.06877899169922,23.32830238342285
14.119999999,24.74901580810547,25.013381958007812
14.139999998999999,26.2401065826416,24.24554443359375
14.16,23.996910095214844,26.42209815979004
14.18,25.314048767089844,24.94315528869629
14.199999999,24.679845809936523,25.38340950012207
14.219999998999999,25.848398208618164,24.82261085510254
14.24,24.291080474853516,25.10121726989746
14.26,24.72029685974121,23.309837341308594
14.279999999,25.59669303894043,25.305326461791992
14.279999999,23.175434112548828,24.554933547973633
14.299999998999999,24.269725799560547,24.825044631958008
14.32,25.09646987915039,26.013397216796875
14.34,24.033451080322266,23.843978881835938
14.34,23.83263397216797,25.048646926879883
14.359999999,24.5972843170166,23.206924438476562
14.379999998999999,25.0258846282959,26.215456008911133
14.379999998999999,23.331247329711914,24.751754760742188
14.4,25.298057556152344,25.735143661499023
14.42,26.017053604125977,24.84481430053711
14.44,24.004043579101562,24.097286224365234
14.44,25.23140525817871,26.3880615234375
14.459999998999999,24.849552154541016,25.036338806152344
14.459999998999999,25.840145111083984,26.079635620117188
14.479999999,24.88131332397461,25.181886672973633
14.5,24.491945266723633,26.266881942749023
14.5,26.190521240234375,25.791748046875
14.52,26.103857040405273,25.411941528320312
14.539999998999999,24.841957092285156,25.500207901000977
14.539999998999999,25.7065372467041,24.576696395874023
14.559999999,25.416446685791016,24.00008201599121
14.559999999,25.169925689697266,24.786422729492188
14.58,23.889196395874023,24.11203384399414
14.6,25.36224365234375,24.7663516998291
14.6,26.76835060119629,26.87596321105957
14.619999999,24.89385986328125,25.4061336517334
14.619999999,25.101482391357422,26.60330581665039
14.639999998999999,23.043058395385742,24.630224227905273
14.66,26.159854888916016,26.476778030395508
14.66,25.6588077545166,22.79816436767578
14.68,25.278703689575195,22.940248489379883
14.699999999,24.253068923950195,24.86893653869629
14.699999999,24.066680908203125,24.56045150756836
14.719999998999999,23.395986557006836,25.180883407592773
14.74,24.600008010864258,24.07857322692871
14.74,24.813013076782227,25.760581970214844
14.76,24.899799346923828,23.943561553955078
14.76,24.572566986083984,25.85074234008789
14.779999999,24.09698486328125,25.751802444458008
14.799999998999999,24.833316802978516,26.43405532836914
14.82,24.433868408203125,24.911571502685547
14.82,26.076641082763672,26.221946716308594
14.84,26.44927215576172,25.224824905395508
14.859999999,25.834869384765625,22.972209930419922
14.879999998999999,25.2711124420166,25.5963134765625
14.9,23.503660202026367,25.88120460510254
14.9,26.98043441772461,25.21592903137207
14.92,24.656469345092773,24.70229721069336
14.94,25.925077438354492,25.579830169677734
14.94,25.546913146972656,26.005529403686523
14.959999998999999,26.224390029907227,26.080720901489258
14.979999999,24.283960342407227,23.275833129882812
14.979999999,24.32076072692871,25.141218185424805
15.0,25.848154067993164,25.778076171875
15.02,25.014747619628906,24.290433883666992
15.02,24.673118591308594,25.878498077392578
15.039999998999999,24.507909774780273,25.7786865234375
15.059999998999999,25.278593063354492,27.569782257080078
15.059999998999999,25.7391357421875,23.66312599182129
15.08,25.672096252441406,25.291906356811523
15.1,23.016569137573242,24.306201934814453
15.1,25.78843879699707,24.87864112854004
15.119999999,25.66278839111328,25.09256935119629
15.139999998999999,26.338451385498047,23.629499435424805
15.16,23.331768035888672,25.817461013793945
15.16,26.004465103149414,24.227888107299805
15.18,24.776683807373047,24.517498016357422
15.199999999,25.462608337402344,24.088619232177734
15.219999998999999,25.943525314331055,23.554454803466797
15.219999998999999,23.86355972290039,22.155628204345703
15.24,25.949445724487305,25.281600952148438
15.26,24.453462600708008,24.30502700805664
15.279999999,24.700611114501953,26.41621208190918
15.279999999,26.606300354003906,25.733911514282227
15.299999998999999,25.849227905273438,26.438457489013672
15.32,23.816539764404297,26.480974197387695
15.32,25.38334083557129,25.00180435180664
15.34,24.203054428100586,23.99609375
15.359999999,25.797672271728516,24.71902847290039
15.379999998999999,26.355098724365234,26.312612533569336
15.379999998999999,24.510469436645508,25.883506774902344
15.4,24.028322219848633,24.842227935791016
15.42,24.509920120239258,24.954769134521484
15.44,23.255735397338867,23.29834747314453
15.459999998999999,25.880525588989258,24.4932804107666
15.459999998999999,24.477140426635742,24.092758178710938
15.479999999,25.32935905456543,26.35323143005371
15.5,25.320302963256836,24.18593978881836
15.52,24.689756393432617,24.933414459228516
15.539999998999999,23.104957580566406,25.210094451904297
15.539999998999999,24.59901237487793,25.92738914489746
15.559999999,24.884553909301758,26.636167526245117
15.58,25.3011417388916,23.453689575195312
15.6,26.80941390991211,25.12482452392578
15.6,25.03885269165039,25.934261322021484
15.619999999,26.126827239990234,25.052038192749023
15.639999998999999,24.71783447265625,24.815927505493164
15.66,26.36349868774414,26.17351722717285
15.68,25.015064239501953,23.830669403076172
15.699999999,25.089435577392578,25.188526153564453
15.699999999,23.657638549804688,25.63968849182129
15.719999998999999,26.34840965270996,24.35318946838379
15.74,22.48723602294922,24.501623153686523
15.76,24.56792449951172,25.40614891052246
15.76,25.649442672729492,26.690011978149414
15.779999999,25.99877166748047,25.290803909301758
15.779999999,25.272974014282227,24.992944717407227
15.799999998999999,24.776365280151367,24.58098793029785
15.82,23.612865447998047,23.294742584228516
