x,IMU Vx,IMU Vy
111.58,0.0,0.0
111.58,0.0,0.0
111.599999999,0.0,0.0
111.62,0.0,0.0
111.62,0.0,0.0
111.64,0.0,0.0
111.659999999,0.0,0.0
111.659999999,0.0,0.0
111.679999999,0.0,0.0
111.7,0.0,0.0
111.72,0.0,0.0
111.72,0.0,0.0
111.73999999899999,0.0,0.0
111.759999999,0.0,0.0
111.759999999,0.0,0.0
111.78,0.0,0.0
111.799999999,0.0,0.0
111.799999999,0.0,0.0
111.819999999,0.0,0.0
111.84,0.0,0.0
111.84,0.0,0.0
111.86,0.0,0.0
111.87999999899999,0.0,0.0
111.87999999899999,0.0,0.0
111.899999999,0.0,0.0
111.92,0.0,0.0
111.92,0.0,0.0
111.94,0.0,0.0
111.959999999,0.0,0.0
111.98,0.0,0.0
111.98,0.0,0.0
112.0,0.0,0.0
112.01999999899999,0.0,0.0
112.01999999899999,0.0,0.0
112.039999999,0.0,0.0
112.06,0.0,0.0
112.06,0.0,0.0
112.08,0.0,0.0
112.09999999899999,0.0,0.0
112.09999999899999,0.0,0.0
112.12,0.0,0.0
112.14,0.0,0.0
112.14,0.0,0.0
112.159999999,0.0,0.0
112.179999999,0.0,0.0
112.179999999,0.0,0.0
112.2,0.0,0.0
112.22,0.0,0.0
112.23999999899999,0.0,0.0
112.23999999899999,0.0,0.0
112.259999999,0.0,0.0
112.28,0.0,0.0
112.28,0.0,0.0
112.299999999,0.0,0.0
112.319999999,0.0,0.0
112.319999999,0.0,0.0
112.34,0.0,0.0
112.36,0.0,0.0
112.36,0.0,0.0
112.37999999899999,0.0,0.0
112.399999999,0.0,0.0
112.42,0.0,0.0
112.42,0.0,0.0
112.44,0.0,0.0
112.459999999,0.0,0.0
112.459999999,0.0,0.0
112.48,0.0,0.0
112.5,0.0,0.0
112.5,0.0,0.0
112.51999999899999,0.0,0.0
112.539999999,0.0,0.0
112.539999999,0.0,0.0
112.56,0.0,0.0
112.58,0.0,0.0
112.58,0.0,0.0
112.599999999,0.0,0.0
112.62,0.0,0.0
112.62,0.0,0.0
112.64,0.0,0.0
112.659999999,0.0,0.0
112.679999999,0.0,0.0
112.679999999,0.0,0.0
112.7,0.0,0.0
112.72,0.0,0.0
112.72,0.0,0.0
112.73999999899999,0.0,0.0
112.759999999,0.0,0.0
112.759999999,0.0,0.0
112.78,0.0,0.0
112.799999999,0.0,0.0
112.799999999,0.0,0.0
112.819999999,0.0,0.0
