x,In,Out,Radiator
0.76,24.774072647094727,25.388906478881836,25.285140991210938
0.78,25.021284103393555,24.955997467041016,24.71537971496582
0.78,24.859460830688477,25.1016902923584,24.609697341918945
0.78,24.859460830688477,25.1016902923584,24.609697341918945
0.78,24.92290496826172,25.314308166503906,25.220754623413086
0.8,24.92290496826172,25.314308166503906,25.220754623413086
0.8,25.254287719726562,24.83186912536621,24.95374870300293
0.8,25.170095443725586,25.428543090820312,24.930429458618164
0.8,25.170095443725586,25.428543090820312,24.930429458618164
0.82,25.054304122924805,25.43446159362793,24.448469161987305
0.82,25.054304122924805,25.43446159362793,24.448469161987305
0.82,24.897735595703125,24.874256134033203,25.28558921813965
0.82,24.927196502685547,25.003198623657227,24.754613876342773
0.84,25.591510772705078,24.995092391967773,25.17270278930664
0.84,25.591510772705078,24.995092391967773,25.17270278930664
0.84,25.037412643432617,24.694978713989258,25.326988220214844
0.86,25.359943389892578,24.757686614990234,25.106861114501953
0.86,25.359943389892578,24.757686614990234,25.106861114501953
0.86,25.22238540649414,25.197120666503906,25.3972225189209
0.86,25.22238540649414,25.197120666503906,25.3972225189209
0.88,25.056385040283203,24.778278350830078,24.619123458862305
0.88,24.703039169311523,24.92326545715332,24.553058624267578
0.88,24.707408905029297,24.783802032470703,25.68346405029297
0.9,24.707408905029297,24.783802032470703,25.68346405029297
0.9,25.412443161010742,24.71580696105957,24.684738159179688
0.9,25.412443161010742,24.71580696105957,24.684738159179688
0.9,25.503252029418945,24.58658790588379,24.84714698791504
0.92,25.525869369506836,25.12747573852539,25.27385139465332
0.92,25.525869369506836,25.12747573852539,25.27385139465332
0.92,24.794048309326172,24.904672622680664,25.306669235229492
0.92,25.59376335144043,25.13467788696289,25.348770141601562
0.94,25.59376335144043,25.13467788696289,25.348770141601562
0.94,25.13006591796875,24.73836326599121,25.608556747436523
0.94,25.13006591796875,24.73836326599121,25.608556747436523
0.96,25.67418098449707,24.904855728149414,24.911069869995117
0.96,25.353923797607422,24.975894927978516,24.495420455932617
0.96,25.353923797607422,24.975894927978516,24.495420455932617
